INFO 2025-02-17 14:14:22,177 scheduler Starting scheduler...
INFO 2025-02-17 14:23:10,001 scheduler Starting scheduler...
INFO 2025-02-17 14:23:20,802 scheduler Starting scheduler...
INFO 2025-02-17 14:23:29,140 scheduler Starting scheduler...
INFO 2025-02-17 14:24:01,707 scheduler Starting scheduler...
INFO 2025-02-17 15:00:21,878 scheduler Starting scheduler...
INFO 2025-02-17 15:00:25,603 scheduler Starting scheduler...
INFO 2025-02-17 15:01:10,060 scheduler Starting scheduler...
INFO 2025-02-17 15:12:33,883 scheduler Starting scheduler...
INFO 2025-02-17 15:12:39,391 scheduler Starting scheduler...
INFO 2025-02-17 15:36:02,405 scheduler Starting scheduler...
INFO 2025-02-17 15:36:07,286 scheduler Starting scheduler...
INFO 2025-02-17 18:34:34,146 scheduler Starting scheduler...
INFO 2025-02-17 18:37:35,640 scheduler Starting scheduler...
INFO 2025-02-17 18:37:54,709 scheduler Starting scheduler...
INFO 2025-02-17 20:09:04,412 scheduler Starting scheduler...
INFO 2025-02-17 20:09:15,539 scheduler Starting scheduler...
INFO 2025-02-17 20:09:25,608 scheduler Starting scheduler...
INFO 2025-02-17 20:09:35,946 scheduler Starting scheduler...
INFO 2025-02-17 21:19:56,346 scheduler Starting scheduler...
INFO 2025-02-17 21:21:24,965 scheduler Starting scheduler...
INFO 2025-02-17 21:27:09,770 scheduler Starting scheduler...
INFO 2025-02-17 21:27:29,646 scheduler Starting scheduler...
INFO 2025-02-17 21:27:54,986 scheduler Starting scheduler...
INFO 2025-02-17 21:29:02,078 scheduler Starting scheduler...
INFO 2025-02-17 21:30:38,216 scheduler Starting scheduler...
INFO 2025-02-17 21:34:10,385 scheduler Starting scheduler...
INFO 2025-02-18 08:32:44,514 scheduler Starting scheduler...
INFO 2025-02-18 08:33:52,140 scheduler Starting scheduler...
INFO 2025-02-18 08:34:11,013 scheduler Starting scheduler...
INFO 2025-02-18 08:40:17,643 scheduler Starting scheduler...
INFO 2025-02-18 08:44:55,599 scheduler Starting scheduler...
